"Vuosineljännes","Postinumero","Huoneluku","Lukumäärä","muutos","postialue_id"
"2024Q2","60550 Nurmo Keskus   (Seinäjoki )","Yksiöt",22,15.88,"60550"
"2024Q2","80260 Kettuvaara   (Joensuu )","Yksiöt",61,15.85,"80260"
"2024Q2","40400 Halssila   (Jyväskylä )","Yksiöt",31,15.84,"40400"
"2024Q2","15210 Kivistönmäki   (Lahti )","Yksiöt",100,15.79,"15210"
"2024Q2","40630 Kypärämäki   (Jyväskylä )","Yksiöt",23,15.79,"40630"
"2024Q2","80160 Rantakylä-Latola   (Joensuu )","Yksiöt",121,15.79,"80160"
"2024Q2","13500 Jukola   (Hattula )","Yksiöt",39,15.78,"13500"
"2024Q2","90440 Kempele Keskus   (Kempele )","Yksiöt",25,15.75,"90440"
"2024Q2","71800 Siilinjärvi Keskus   (Siilinjärvi )","Yksiöt",69,15.67,"71800"
"2024Q2","60120 Pohja   (Seinäjoki )","Yksiöt",34,15.66,"60120"
"2024Q2","36200 Kangasala Keskus   (Kangasala )","Yksiöt",62,15.64,"36200"
"2024Q2","11130 Peltosaari-Patastenmäki   (Riihimäki )","Yksiöt",112,15.63,"11130"
"2024Q2","37120 Koskenmäki   (Nokia )","Yksiöt",52,15.61,"37120"
"2024Q2","90250 Kaukovainio   (Oulu )","Yksiöt",233,15.57,"90250"
"2024Q2","15200 Kiveriö   (Lahti )","Yksiöt",90,15.56,"15200"
"2024Q2","08700 Virkkala   (Lohja )","Yksiöt",24,15.54,"08700"
"2024Q2","87300 Palokangas   (Kajaani )","Yksiöt",20,15.52,"87300"
"2024Q2","36240 Nattari   (Kangasala )","Yksiöt",39,15.47,"36240"
"2024Q2","45100 Kouvola Keskus   (Kouvola )","Yksiöt",210,15.46,"45100"
"2024Q2","20780 Kaarina Keskus   (Kaarina )","Yksiöt",53,15.44,"20780"
"2024Q2","15170 Tenava-Tonttila   (Lahti )","Yksiöt",102,15.43,"15170"
"2024Q2","60510 Hyllykallio   (Seinäjoki )","Yksiöt",25,15.43,"60510"
"2024Q2","15800 Kärpänen   (Lahti )","Yksiöt",109,15.33,"15800"
"2024Q2","53810 Kuusimäki-Lavola   (Lappeenranta )","Yksiöt",80,15.33,"53810"
"2024Q2","33880 Höytämö   (Lempäälä )","Yksiöt",23,15.31,"33880"
"2024Q2","87200 Teppana   (Kajaani )","Yksiöt",31,15.31,"87200"
"2024Q2","40340 Huhtasuo   (Jyväskylä )","Yksiöt",181,15.24,"40340"
"2024Q2","08350 Routio   (Lohja )","Yksiöt",24,15.17,"08350"
"2024Q2","95400 Tornio Keskus   (Tornio )","Yksiöt",70,15.16,"95400"
"2024Q2","45130 Korjala-Kaunisnurmi   (Kouvola )","Yksiöt",101,15.14,"45130"
"2024Q2","60220 Huhtala   (Seinäjoki )","Yksiöt",30,15.13,"60220"
